#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DJI_AIR_2S,_field,_measurement
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:00.654Z,348,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:01.986Z,349,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:03.318Z,350,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:04.65Z,351,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:05.982Z,353,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:07.314Z,354,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:08.979Z,356,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:09.978Z,357,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:11.31Z,358,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:12.642Z,359,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:14.64Z,361,Basic_metrics,FlightTime,Dji
,,0,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:15.972Z,363,Basic_metrics,FlightTime,Dji
