#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DJI_AIR_2S,_field,_measurement
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:31.428Z,130,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:33.114Z,131.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:34.8Z,134,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:36.486Z,135,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:38.172Z,136.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:39.858Z,139,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:41.544Z,140,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:43.23Z,141.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:44.916Z,144,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:46.602Z,145,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:48.288Z,146.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:49.974Z,148,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:51.66Z,150.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:55.032Z,153.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:56.718Z,155,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:50:58.404Z,157.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:00.09Z,159,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:01.776Z,160,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:03.462Z,162.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:05.148Z,164,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:06.834Z,165.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:08.52Z,168,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:10.206Z,169,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:11.892Z,170.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:13.578Z,172,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:15.264Z,174,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:16.95Z,176,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:18.636Z,177,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:20.322Z,179,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:22.008Z,181,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:23.694Z,182,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:25.38Z,184,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:27.066Z,186,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:28.752Z,187.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:30.438Z,189,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:32.124Z,190,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:33.81Z,192.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:35.496Z,194,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:37.182Z,195.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:38.868Z,198,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:40.554Z,199,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:42.24Z,200.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:43.926Z,202,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:45.612Z,204.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:47.298Z,206,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:48.984Z,207.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:50.67Z,210,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:52.356Z,211.5,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:54.042Z,213,Basic_metrics,FlightTime,Dji
,,0,2022-09-13T12:50:30Z,2022-09-13T13:00:37Z,2022-09-13T12:51:55.728Z,215,Basic_metrics,FlightTime,Dji
